ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref A
137;Organic;4;Plant based ;Corn;30 to 60°C and 10 to 50 % moisture;;0.159;2.449;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;54
138;Organic;4;Plant based ;Chinese cabbage;;;;;dry basis;;67.6;22.49;9.91;100;0;67.6;22.49;9.91;;dry ash free basis;47.49;5.88;4.11;0.73;41.79;;100;47.49;5.88;4.11;0.73;41.79;;;16.99;;18.85891886;16.99;16.99;42
139;Organic;4;Plant based ;Potato;;;;;dry basis;;79.52;17.33;3.15;100;0;79.52;17.33;3.15;;dry ash free basis;44.41;5.33;1.81;0.64;47.82;;100.01;44.41;5.33;1.81;0.64;47.82;;;17.1;;17.65616933;17.1;17.1;42
140;Organic;4;Plant based ;Tangerine peel;;;;;dry basis;;76.49;20.6;2.91;100;0;76.49;20.6;2.91;;dry ash free basis;48.74;5.92;1.43;0.08;43.83;;100;48.74;5.92;1.43;0.08;43.83;;;18.47;;19.02358636;18.47;18.47;42
141;Organic;4;Plant based ;Banana peel;;;;;dry basis;;64.38;24.77;10.85;100;0;64.38;24.77;10.85;;dry ash free basis;35.8;4.79;4.37;0.1;54.93;;99.99;35.8;4.79;4.37;0.1;54.93;;;16.39;;18.38474481;16.39;16.39;42
142;Organic;4;Plant based ;Pakchoi;;;;;dry basis;;63.97;17.59;18.44;100;0;63.97;17.59;18.44;;dry ash free basis;43.37;5.93;1.25;0.81;48.64;;100;43.37;5.93;1.25;0.81;48.64;;;18.9;;23.17312408;18.9;18.9;42
143;Organic;4;Plant based ;Celery;;;;;dry basis;;65.36;20.06;14.58;100;0;65.36;20.06;14.58;;dry ash free basis;38.46;6.16;0.21;0.65;54.52;;100;38.46;6.16;0.21;0.65;54.52;;;13.57;;15.88620932;13.57;13.57;42
144;Organic;4;Plant based ;Orange peel;;;;;dry basis;;77.93;19.92;2.15;100;0;77.93;19.92;2.15;;dry ash free basis;40.28;6.12;1.08;0.06;52.46;;100;40.28;6.12;1.08;0.06;52.46;;;17.1;;17.47572816;17.1;17.1;42
145;Organic;4;Plant based ;Spinach;;;;;dry basis;;65.26;18.77;15.97;100;0;65.26;18.77;15.97;;dry ash free basis;47.58;6.48;1.57;0.43;43.93;;99.99;47.58;6.48;1.57;0.43;43.93;;;17.08;;20.32607402;17.08;17.08;42
146;Organic;4;Plant based ;Chinese cabbage;;;;;dry basis;;71.76;8.23;20.01;100;0;71.76;8.23;20.01;;dry ash free basis;49.68;5.08;4.07;0.66;40.51;;100;49.68;5.08;4.07;0.66;40.51;;;15.784;;19.73246656;15.784;15.784;31
147;Organic;4;Plant based ;Potato;;;;;;;;;;;;;;;;dry ash free basis;42.09;6.5;2.12;0.23;49.06;;100;42.09;6.5;2.12;0.23;49.06;;;16.912;;;16.912;;31
148;Organic;4;Plant based ;Peas;;;;;;;;;;;;;;;;dry ash free basis;42.13;5.88;3.14;0.22;48.62;;99.99;42.13421342;5.880588059;3.140314031;0.220022002;48.62486249;;;16.533;;;16.533;;31
