ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;SiO2;CaO;Fe2O3;Al2O3;Na2O;MgO;K2O;P2O5;TiO2;MnO;CuO;ZnO;BaO;SO3;Cl;Cr2O3;ZrO2;PbO;B2O3;SrO;SiO2_norm;CaO_norm;Fe2O3_norm;Al2O3_norm;Na2O_norm;MgO_norm;;Share;REF
85;Inert;2;Ash;Palm Oil Fuel Ash;;2.36;;;;54;12.9;2;0.9;1;4.9;13.5;;;;;;;4;;;;;;3.7;0.7133;0.1704;0.0264;0.0119;0.0132;0.0647;;0.81223176;217
86;Inert;2;Ash;Sugar Cane Bagasse Ash;;2.53;;;;78.34;2.15;3.61;8.55;0.12;1.65;3.46;1.07;;;;;;;;;;;;0.42;0.8297;0.0228;0.0382;0.0906;0.0013;0.0175;;0.954219303;217
87;Inert;2;Ash;Sugar Cane Bagasse Ash;;;;;;69.4;2.51;5.41;11.26;0.09;1.28;3.45;1.61;1.38;;;;;1.83;;;;;;1.56;0.7715;0.0279;0.0601;0.1252;0.0010;0.0142;;0.915801262;217
88;Inert;2;Ash;Corn Cob Ash;;;;;;47.8;16.7;8.23;9.4;1.99;;5.4;0.27;0.18;2.68;;;;1.75;;;;;;5.5;0.5682;0.1985;0.0978;0.1117;0.0237;0.0000;;0.891101695;222
89;Inert;2;Ash;Corn Cob Ash;;;;;;47.77;16.68;8.21;9.41;1.97;;5.39;0.27;0.2;2.7;;;;1.74;;;;;;5.6;0.5684;0.1985;0.0977;0.1120;0.0234;0.0000;;0.890820437;222
90;Inert;2;Ash;Corn Cob Ash;;;;;;47.78;16.69;8.22;9.42;1.98;;5.4;0.27;0.19;2.69;;;;1.75;;;;;;5.55;0.5682;0.1985;0.0978;0.1120;0.0235;0.0000;;0.890878271;222
91;Inert;2;Ash;Corn Cob Ash;;;;;;47.78;16.69;8.22;9.41;1.99;;5.4;0.27;0.19;2.69;;;;1.75;;;;;;5.55;;;;;;;;;222
92;Inert;2;Ash;Corn Cob Ash;;;;;;66.38;11.57;4.44;7.48;0.41;2.06;4.92;;;;;;;;;;;;;;;;;;;;;;193
93;Inert;2;Ash;Corn Cob Ash;;;;;;63.73;6.56;5.32;15.05;0.1;4.56;2.05;;;;;;;;;;;;;;0.6686;0.0688;0.0558;0.1579;0.0010;0.0478;;0.978946287;193
94;Inert;2;Ash;Corn Cob Ash;;;;;;62.3;10.57;4.4;6.25;0.36;1.86;3.89;;;;;;;;;;;;;;0.7266;0.1233;0.0513;0.0729;0.0042;0.0217;;0.956599353;193
95;Inert;2;Ash;Corn Cob Ash;;;;;;37.27;13;1.19;2.37;0;7.35;15;;;;;;;;;;;;;;0.6092;0.2125;0.0195;0.0387;0.0000;0.1201;;0.803097926;193
96;Inert;2;Ash;Corn Cob Ash;;;;;;64.9;10.24;4.75;10.79;0.43;2.08;4.23;;;;;;;;;;;;;;0.6964;0.1099;0.0510;0.1158;0.0046;0.0223;;0.956579758;193
42;Inert;3;Slag;Glassy slag;at room temperature;2.767;;0.759218631;A;43.17;28.72;;28.11;;;;;;;;;;;;;;;;;0.4317;0.2872;0.0000;0.2811;0.0000;0.0000;;1;165
